               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  44,            0.043225,            0.047284,           0.0081026,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.040499,            0.048361,           0.0073917,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.040905,            0.045686,           0.0076544,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.040672,            0.043825,           0.0077422,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.041732,            0.045347,           0.0075483,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.040312,            0.048633,           0.0071121,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.037867,            0.041709,           0.0071756,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.038844,            0.039944,           0.0078213,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.041093,            0.043781,             0.00723,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.040411,            0.041912,           0.0079645,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.03964,            0.040191,           0.0068415,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.041514,            0.046045,           0.0067622,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.040044,            0.047319,           0.0075958,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.039219,            0.042636,            0.006772,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.042892,            0.043869,           0.0073368,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.03901,            0.043577,           0.0075888,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008086,            0.008086,            0.008086
                  60,             0.03954,            0.036184,           0.0070122,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.038137,            0.044266,           0.0071933,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.040638,            0.043133,           0.0066283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.039805,            0.040765,           0.0065454,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.038859,            0.044199,           0.0073823,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.037327,            0.038842,           0.0071333,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.038061,            0.043338,           0.0059988,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.037992,            0.039852,           0.0060347,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.040092,            0.040665,           0.0064396,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.037872,            0.042146,           0.0059525,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.040433,            0.042324,           0.0066521,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.037761,            0.042912,           0.0063728,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.036817,            0.041538,           0.0067011,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.037233,            0.041343,           0.0059042,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.037885,            0.045076,           0.0062838,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.038444,              0.0395,           0.0066339,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.035822,            0.036771,           0.0062943,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.037589,            0.040468,           0.0066373,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.037774,            0.041385,           0.0057283,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.034468,            0.037845,           0.0061242,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.036426,            0.041331,           0.0067421,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.036786,            0.037146,           0.0064611,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.036184,            0.041837,           0.0058632,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.038884,             0.04151,           0.0057482,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.039487,            0.036143,           0.0054225,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.039306,            0.041978,           0.0065771,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007228,            0.007228,            0.007228
                  86,             0.03563,            0.039335,           0.0060814,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.038067,            0.042512,           0.0061854,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.035811,            0.038847,           0.0061199,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.035196,            0.036974,           0.0061894,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.035164,            0.038538,           0.0053582,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.035015,            0.037362,           0.0057898,                   0,                   0,                   0,                   0,                   0,                   0,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.034654,            0.036254,           0.0053292,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.038068,            0.035799,           0.0059796,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.034329,            0.038754,           0.0054595,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.033686,            0.037457,           0.0058275,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.034881,            0.036182,           0.0055588,                   0,                   0,                   0,                   0,                   0,                   0,                   0,            0.006865,            0.006865,            0.006865
